interStrokeTime,strokeDuration,startX,startY,stopX,stopY,distanceEndToEnd,meanResultantLength,UDLRflag,directionEndToEnd,20pcPairwiseVelocity,50pcPairwiseVelocity,80pcPairwiseVelocity,20pcPairwiseAccel,50pcPairwiseAccel,80pcPairwiseAccel,medianVelocityLast3Points,largestDeviationEndToEnd,20pcDeviationEndToEnd,50pcDeviationEndToEnd,80pcDeviationEndToEnd,averageDirection,trajectoryLength,distE2EandtrajLength,averageVelocity,medianAccellerationAtFirst5points,midStrokePressure,midStrokeAreaCovered,midStrokeFingerOrientation,changeFingerOrientation,phoneOrientation,docID,phoneID,userID
2.846,0.255,29.331,-33.967,13.607,-37.898,16.208,0.33333,4,-2.8966,0.083646,0.83646,1601.3,-3.5583e+005,-79115,1.976e+005,0.83646,0.048892,0,0,0.034224,-2.8936,16.214,0.99962,63.584,-79115,0.32,0.044444,0,0,1,4,1,17
0.483,0.125,15.321,-33.161,30.641,-31.044,15.466,0.99664,2,0.13729,0,77.923,332.21,-15030,-6872.3,23485,130.8,0.15042,-0.12428,-0.0042697,-4.4409e-017,0.10417,15.482,0.99898,123.86,-4004.3,0.55,0.044444,0,0,1,4,1,17
0.545,0.081,11.994,-34.371,29.23,-31.347,17.499,0.99527,2,0.17367,74.613,200.83,945.67,-82886,-9145.5,55286,167.16,-0.52077,-0.37551,-0.033092,0,0.16246,17.545,0.99736,216.61,-9145.5,0.545,0.044444,0,0,1,4,1,17
0.886,0.114,23.082,-31.145,7.0556,-35.076,16.501,0.59784,4,-2.9011,23.716,152.53,231.66,-9419.7,-3933.7,27688,186.56,0.54672,-4.4409e-016,0.096045,0.43165,-2.9756,16.56,0.99646,145.26,-3933.7,0.65,0.044444,0,0,1,4,1,17
0.911,0.152,27.214,-30.843,9.273,-35.177,18.457,0.71211,4,-2.9046,51.027,151.11,193.59,-3121.1,-248.52,9271.5,153.4,0.46346,0,0.20586,0.23156,-2.9222,18.512,0.99707,121.79,1137.4,0.5,0.044444,0,0,1,4,1,17
0.518,0.102,25.299,-31.448,8.9706,-34.572,16.625,0.54861,4,-2.9525,10.819,182.57,253.7,-7155.5,-1786.1,5995.4,218.81,0.90075,0,0.22336,0.7217,-2.9316,16.758,0.99203,164.3,372.08,0.56,0.044444,0,0,1,4,1,17
0.454,0.141,10.281,-33.967,28.021,-31.246,17.947,0.98007,2,0.15222,0,22.713,204.9,-24124,-856.94,8030.7,170.13,-0.76929,-0.52022,-0.1534,-4.4409e-016,0.1642,18.04,0.99488,127.94,0,0.59,0.044444,0,0,1,4,1,17
0.392,0.158,10.886,-34.975,30.44,-29.835,20.218,0.97542,2,0.25707,0,134.07,431.91,-21374,-2093.2,2.0905e+005,143.19,-1.0944,-0.93321,-0.16381,0,0.22738,20.381,0.99201,129,-3394,0.67,0.044444,0,0,1,4,1,17
0.399,0.124,31.347,-28.424,10.18,-33.262,21.713,0.50147,4,-2.9169,2.5198,142.42,2146.8,-90800,-8296.9,1.1368e+006,194.67,0.77485,0,0.13476,0.72824,-2.8573,21.816,0.99526,175.94,-8399.4,0.53,0.044444,0,0,1,4,1,17
1.728,0.132,24.795,-31.851,7.7611,-36.487,17.654,0.67736,4,-2.8758,9.6591,194.55,309,-15761,317.03,1.0004e+005,199.72,1.0128,0,0.37089,0.89089,-3.0335,17.908,0.98578,135.67,3608.2,0.52,0.044444,0,0,1,4,1,17
