interStrokeTime,strokeDuration,startX,startY,stopX,stopY,distanceEndToEnd,meanResultantLength,UDLRflag,directionEndToEnd,20pcPairwiseVelocity,50pcPairwiseVelocity,80pcPairwiseVelocity,20pcPairwiseAccel,50pcPairwiseAccel,80pcPairwiseAccel,medianVelocityLast3Points,largestDeviationEndToEnd,20pcDeviationEndToEnd,50pcDeviationEndToEnd,80pcDeviationEndToEnd,averageDirection,trajectoryLength,distE2EandtrajLength,averageVelocity,medianAccellerationAtFirst5points,midStrokePressure,midStrokeAreaCovered,midStrokeFingerOrientation,changeFingerOrientation,phoneOrientation,docID,phoneID,userID
0.509,0.044,19.513,-35.211,19.513,-35.211,0,1,2,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0.29,0.088889,0,0,1,4,2,26
0.638,0.127,23.002,-24.746,15.371,-26.708,7.8792,0.64823,4,-2.8899,8.9776,47.841,143.94,-5983.1,1310,6115.3,47.841,1.0588,1.9984e-016,0.054297,0.98007,-2.9513,8.213,0.95935,64.669,1310,0.72,0.18889,0,0,1,4,2,26
12.543,0.174,23.22,-24.419,6.7588,-29.979,17.374,0.75345,4,-2.8159,43.131,158.64,552.58,-8799.9,4070,1.8416e+005,177.5,1.9186,0,0.91927,1.8502,-2.8271,18.045,0.96285,103.71,9028,0.65,0.17778,0,0,1,4,2,26
0.726,0.13,8.612,-40.989,15.044,-40.008,6.5062,0.98237,2,0.15138,10.22,64.885,110.64,-2694,-246.62,3940.6,84.554,-0.39271,-0.33901,-0.12695,0,0.16446,6.586,0.98787,50.662,-246.62,0.52,0.13333,0,0,1,4,2,26
12.857,0.091,14.499,-38.373,24.201,-36.519,9.8776,0.99578,2,0.18874,27.918,134.77,468.08,-22856,-1906.8,1.2564e+005,150.04,-0.12392,-0.058231,-2.2204e-016,0.034289,0.1562,9.894,0.99834,108.73,-1906.8,0.4,0.088889,0,0,1,4,2,26
0.466,0.109,25.836,-44.804,19.949,-45.894,5.9868,0.50638,4,-2.9585,11.911,80.446,138.31,-2595.3,-1164.9,5843,80.446,-0.02779,-0.021835,0,0,-2.8643,5.9871,0.99995,54.927,-1164.9,0.42,0.12222,0,0,1,4,2,26
11.349,0.079,21.803,-41.97,17.006,-43.496,5.0335,0.50817,4,-2.8335,14.807,87.105,357.25,-16937,-3374.4,91350,87.105,0.20304,0,0,0.19832,-2.7388,5.0619,0.99439,64.075,-3374.4,0.52,0.14444,0,0,1,4,2,26
0.647,0.245,11.01,-43.169,21.585,-40.335,10.948,0.9763,2,0.26189,4.9055,54.654,115.7,-1559.3,1566.3,3859.4,90.706,0.2627,-0.010312,0.016283,0.11724,0.24645,10.997,0.99549,44.886,2467.1,0.42,0.13333,0,0,1,4,2,26
10.15,0.101,11.991,-40.989,19.295,-39.027,7.5629,0.98868,2,0.26246,12.83,84.504,726.23,-23755,1692.5,4.3097e+005,113.22,-0.097423,-0.064425,-2.2204e-016,0.025927,0.23795,7.5798,0.99776,75.048,1692.5,0.53,0.13333,0,0,1,4,2,26
0.501,0.117,30.524,-32.377,25.727,-33.467,4.9189,0.59695,4,-2.9181,7.5181,37.294,96.903,-2698.7,-1508,3629.6,57.303,0.2416,1.5543e-016,0.048319,0.23821,-2.885,4.9552,0.99268,42.352,-1508,0.42,0.15556,0,0,1,4,2,26
