interStrokeTime,strokeDuration,startX,startY,stopX,stopY,distanceEndToEnd,meanResultantLength,UDLRflag,directionEndToEnd,20pcPairwiseVelocity,50pcPairwiseVelocity,80pcPairwiseVelocity,20pcPairwiseAccel,50pcPairwiseAccel,80pcPairwiseAccel,medianVelocityLast3Points,largestDeviationEndToEnd,20pcDeviationEndToEnd,50pcDeviationEndToEnd,80pcDeviationEndToEnd,averageDirection,trajectoryLength,distE2EandtrajLength,averageVelocity,medianAccellerationAtFirst5points,midStrokePressure,midStrokeAreaCovered,midStrokeFingerOrientation,changeFingerOrientation,phoneOrientation,docID,phoneID,userID
1.521,1.369,26.307,-33.463,29.734,-36.588,4.6376,0.25823,2,-0.73928,8.3994,26.609,55.687,-1005.9,-39.83,991.72,8.6685,19.711,0.42849,6.2609,18.23,-0.00016291,53.49,0.0867,39.072,-478.9,0.88,0.044444,0,0,1,4,3,10
0.573,0.228,29.734,-33.967,3.1246,-40.015,27.288,0.78975,4,-2.9181,18.351,69.295,146.75,-5427.7,-1089.9,12377,161.03,2.5778,8.8818e-016,0.56515,1.4855,-3.0609,27.958,0.97604,122.62,-467.59,0.81,0.044444,0,0,1,4,3,10
1.172,0.207,23.586,-31.246,6.35,-37.697,18.403,0.78373,4,-2.7835,27.7,45.232,132.74,-253.03,718.76,2271.3,117.64,0.66466,-8.8818e-016,0.016561,0.22744,-2.7301,18.475,0.99612,89.251,328.92,0.85,0.044444,0,0,1,4,3,10
0.398,0.129,9.1722,-37.495,21.671,-35.278,12.694,0.97203,2,0.17559,0.83849,61.675,250.67,-3009.5,539.02,6888,172.29,0.29133,-0.058586,0,0.1804,0.17197,12.74,0.99637,98.759,2092.9,0.8,0.044444,0,0,1,4,3,10
1.773,0.133,11.188,-36.991,29.734,-32.96,18.979,0.97679,2,0.21406,39.596,140.48,292.46,-9527.5,-3235.6,30943,195.23,-0.35115,-0.27064,0,0.01199,0.26608,19.058,0.99588,143.29,3181.7,0.76,0.044444,0,0,1,4,3,10
0.359,0.176,29.432,-30.037,9.6762,-38.705,21.574,0.73707,4,-2.7281,12.274,75.246,317.14,-36328,-2275,2.9483e+005,173.62,1.0888,-6.2172e-016,0.36449,0.91838,-2.8766,21.801,0.98956,123.87,-553.46,0.92,0.044444,0,0,1,4,3,10
1.091,0.161,25.702,-29.533,5.9468,-38.806,21.824,0.5524,4,-2.7027,25.697,119.96,265.38,-15822,-1768.3,55526,142.25,1.1415,0.0091242,0.43387,0.88505,-2.8087,22.162,0.98473,137.65,-1768.3,0.925,0.044444,0,0,1,4,3,10
0.364,0.113,6.1484,-38.503,20.058,-36.79,14.015,0.98462,2,0.12257,0,67.755,216.32,-53216,-779.87,30445,151.42,-0.54296,-0.41704,-0.075391,0,0.18412,14.085,0.99503,124.64,-779.87,0.83,0.044444,0,0,1,4,3,10
5.139,0.092,11.39,-34.068,26.912,-32.556,15.596,0.97934,2,0.097096,26.448,150.25,337.87,-45495,-5550,1.5218e+005,165.62,-0.6195,-0.56198,-0.14168,-2.2204e-016,0.19395,15.713,0.99251,170.8,-5056.7,0.85,0.044444,0,0,1,4,3,10
0.405,0.199,32.153,-30.944,13.506,-39.41,20.479,0.80288,4,-2.7154,31.081,95.971,175.34,-10024,-1021.1,10369,144.11,0.99614,0,0.15776,0.9,-2.7022,20.613,0.99348,103.58,657.28,0.74,0.044444,0,0,1,4,3,10
3.054,0.162,26.206,-33.06,7.5595,-44.652,21.956,0.47562,4,-2.5854,0,59.393,299.51,-16045,-1622.1,1.5314e+005,146.16,1.2516,0,0.24177,0.85209,-2.4403,22.216,0.98828,137.14,0,0.81,0.044444,0,0,1,4,3,10
0.376,0.13,10.583,-36.689,25.702,-34.975,15.216,0.98683,2,0.11285,0,13.258,133.44,-19659,369.75,3750.1,110.26,-0.438,-0.28477,-0.077451,0,0.14192,15.26,0.9971,117.39,739.5,0.78,0.044444,0,0,1,4,3,10
1.157,0.11,15.421,-32.153,29.129,-30.944,13.761,0.98001,2,0.088007,24.58,143.59,237.8,-15230,6008.3,84318,172.32,-0.53745,-0.51176,-0.25987,0,0.17583,13.865,0.99251,126.05,12840,0.82,0.044444,0,0,1,4,3,10
0.365,0.223,30.843,-30.137,14.111,-37.193,18.159,0.79729,4,-2.7425,18.152,63.251,102.26,-3477.9,717.76,3731.3,102.26,0.74859,0,0.12756,0.43035,-2.7938,18.242,0.99541,81.804,2025.6,0.81,0.044444,0,0,1,4,3,10
2.176,0.231,25.602,-29.835,11.793,-36.185,15.199,0.4749,4,-2.7106,16.241,71.269,94.122,-8933,-1534.6,21102,55.006,0.8068,0.0051469,0.37365,0.67726,-2.8325,16.973,0.89545,73.477,-174.13,0.92,0.044444,0,0,1,4,3,10
0.396,0.128,7.4587,-37.798,24.19,-36.084,16.819,0.99612,2,0.10205,31.181,98.89,142.53,-42339,-1783.1,6836.4,98.89,-0.39141,-0.33107,-0.028389,2.2204e-016,0.14182,16.849,0.99822,131.64,-1783.1,0.75,0.044444,0,0,1,4,3,10
1.98,0.091,15.22,-33.463,27.718,-32.254,12.557,0.98803,2,0.096474,43.312,213.16,694.12,-33308,-5875.4,2.8729e+005,180.8,-0.49839,-0.478,-0.2945,0,0.15481,12.635,0.99383,138.84,66414,0.78,0.044444,0,0,1,4,3,10
0.296,0.151,25.4,-33.766,12.902,-40.015,13.974,0.75314,4,-2.6779,28.174,75.851,145.71,-8471.8,-1239.9,5835.6,105.27,0.58599,-6.2172e-016,0.31553,0.46879,-2.6965,14.055,0.99418,93.082,3671,0.85,0.044444,0,0,1,4,3,10
1.514,0.198,26.811,-30.339,13.708,-35.379,14.039,0.47467,4,-2.7744,18.108,68.722,134.59,-3102.9,923.3,2082.4,134.85,1.3894,0,0.68024,1.2961,3.069,15.778,0.88979,79.686,782.53,0.91,0.044444,0,0,1,4,3,10
0.328,0.125,12.902,-32.556,27.718,-31.347,14.866,0.9938,2,0.081452,0,74.271,230.82,-66384,-1811,28745,135.52,0.13326,-0.075857,0,0.031778,0.082538,14.88,0.99903,119.04,-1811,0.72,0.044444,0,0,1,4,3,10
1.81,0.142,14.917,-29.835,30.641,-28.928,15.75,0.99413,2,0.057628,24.725,130.39,837.81,-39788,-2340.7,4.5052e+005,95.936,0.49539,-0.051474,0,0.41199,0.091298,15.819,0.99562,111.4,2522.3,0.68,0.044444,0,0,1,4,3,10
0.272,0.126,25.299,-29.533,13.708,-36.79,13.676,0.68646,4,-2.5822,19.721,64.055,115.26,-35991,1285,2568.5,87.106,0.38704,0,0.043087,0.29009,-2.5625,13.71,0.99747,108.81,1285,0.825,0.044444,0,0,1,4,3,10
1.167,0.198,29.835,-24.291,13.002,-32.859,18.887,0.46379,4,-2.6708,0,66.294,159.49,-3437,0,22728,151.86,0.89881,0,0,0.65891,-2.3542,19.075,0.99015,96.34,0,0.995,0.044444,0,0,1,4,3,10
0.376,0.115,15.22,-27.92,31.044,-26.811,15.863,0.9991,2,0.069949,0,100.06,195.37,-42469,-1354.3,8693.4,168.52,0.42973,0,0.042268,0.24586,0.018991,15.888,0.99846,138.16,-1354.3,0.79,0.044444,0,0,1,4,3,10
1.283,0.113,18.244,-26.71,30.944,-24.896,12.829,0.9781,2,0.1419,8.6527,142.67,200.77,-6893.5,-376.5,7585.2,163.02,0.3421,-0.076974,1.1102e-016,0.10263,0.1942,12.898,0.99461,114.15,-376.5,0.77,0.044444,0,0,1,4,3,10
0.43,0.182,32.052,-26.005,11.49,-35.681,22.725,0.78251,4,-2.7018,29.862,54.279,174.77,-2783.8,648.23,2832.6,162.25,1.1749,0,0.15021,0.54988,-2.6831,22.882,0.99313,125.73,1068.6,0.72,0.044444,0,0,1,4,3,10
2.652,0.158,31.246,-23.485,12.196,-33.363,21.459,0.81885,4,-2.6632,84.6,139.25,687.35,-29011,-974.41,1.9115e+005,149.19,1.1632,0,0.45734,1.0499,-2.6587,21.633,0.99194,136.92,-2202.4,0.81,0.044444,0,0,1,4,3,10
0.348,0.128,14.817,-31.448,29.029,-30.037,14.282,0.99808,2,0.098966,0,37.798,313.33,-14628,-3037.5,15643,175.2,0.2568,0,0.059753,0.23389,0.047016,14.298,0.9989,111.7,0,0.82,0.044444,0,0,1,4,3,10
1.481,0.078,15.522,-25.904,29.835,-25.299,14.325,0.99505,2,0.042228,32.167,138.53,964.3,-89775,-5014.3,1.1388e+006,184.56,-0.29218,-0.23559,-0.041842,0,0.090849,14.369,0.99694,184.22,-3953.3,0.81,0.044444,0,0,1,4,3,10
0.375,0.211,29.936,-28.222,11.692,-36.79,20.155,0.78448,4,-2.7025,16.519,62.668,175.48,-6051.2,-699.15,17498,175.48,1.4658,0,0.19759,0.77695,-2.7593,20.458,0.9852,96.957,425.95,0.835,0.044444,0,0,1,4,3,10
2.155,0.107,27.92,-25.4,14.413,-32.254,15.146,0.64801,4,-2.672,8.6647,161.84,602.98,-2.0237e+005,-1551.1,1.3237e+005,372.23,0.78345,0,0.13684,0.78104,-2.7998,15.354,0.98645,143.5,-1551.1,0.91,0.044444,0,0,1,4,3,10
