interStrokeTime,strokeDuration,startX,startY,stopX,stopY,distanceEndToEnd,meanResultantLength,UDLRflag,directionEndToEnd,20pcPairwiseVelocity,50pcPairwiseVelocity,80pcPairwiseVelocity,20pcPairwiseAccel,50pcPairwiseAccel,80pcPairwiseAccel,medianVelocityLast3Points,largestDeviationEndToEnd,20pcDeviationEndToEnd,50pcDeviationEndToEnd,80pcDeviationEndToEnd,averageDirection,trajectoryLength,distE2EandtrajLength,averageVelocity,medianAccellerationAtFirst5points,midStrokePressure,midStrokeAreaCovered,midStrokeFingerOrientation,changeFingerOrientation,phoneOrientation,docID,phoneID,userID
1.704,0.308,27.718,-34.673,11.894,-36.286,15.907,0.33333,4,-3.04,0.099467,0.99467,7022.4,-3.9015e+006,-481.2,3.9006e+006,0.99467,0.030657,0,0,0.02146,-3.0381,15.908,0.9999,51.65,-481.2,0.078431,0.066667,0,0,1,4,5,29
1.132,0.687,4.2333,-31.851,2.8222,-33.665,2.2984,0.62696,1,-2.2318,1.6358,7.8144,36.702,-790.08,3.1107,456.38,86.008,-4.482,-4.261,-1.5382,-0.59318,-0.19447,12.738,0.18044,18.541,-193.47,0.1098,0.11667,0,0,1,4,5,29
11.989,0.168,23.183,-31.851,9.8778,-31.851,13.305,0.74909,4,3.1416,15.999,110.24,149.23,-3816.8,-1456.1,5333.7,110.24,-0.20159,-0.070556,0,0,3.1349,13.319,0.9989,79.283,-1456.1,0.078431,0.066667,0,0,1,4,5,29
0.516,0.192,4.3341,-37.697,22.074,-37.697,17.74,0.97281,2,0,51.359,102.74,150.59,-4108.1,-415.17,3627.8,100.85,-1.3103,-1.2095,-0.80635,0,0.019964,18.029,0.98394,93.902,-415.17,0.078431,0.033333,0,0,1,4,5,29
2.194,0.149,4.7373,-39.108,22.88,-38.806,18.145,0.98401,2,0.016665,44.919,161.65,188.72,-4617.8,-1609.7,2532.5,139.57,-1.4344,-1.2656,-0.74073,-5.5511e-017,0.0070595,18.465,0.98271,123.92,-457.56,0.098039,0.066667,0,0,1,4,5,29
0.483,0.107,20.159,-34.774,8.9706,-35.076,11.192,0.59648,4,-3.1146,32.398,173.39,204.38,-5250.3,-1826.1,6517.2,176.28,0.42754,3.8858e-017,0.024508,0.24073,-3.1105,11.241,0.99565,105.06,-1826.1,0.07451,0.066667,0,0,1,4,5,29
2.565,0.149,26.408,-35.379,6.7532,-36.487,19.686,0.73618,4,-3.0852,32.34,148.58,183.89,-4663.9,-1301.7,1884.4,117.06,1.0058,0,0.55323,0.89321,-3.0869,19.867,0.99089,133.34,-1027,0.066667,0.083333,0,0,1,4,5,29
0.541,0.269,7.0556,-39.511,23.485,-38.604,16.454,0.99587,2,0.055159,21.613,108.75,175.82,-3975.3,1978.9,3638.5,159.65,-0.75202,-0.59829,-0.25129,0,0.055435,16.534,0.99517,61.466,2846.7,0.10196,0.13333,0,0,1,4,5,29
1.548,0.146,10.785,-39.209,31.246,-37.898,20.503,0.99306,2,0.063952,44.018,218.46,242.5,-5496.5,-264.74,6029.5,222.04,-1.2244,-1.0051,-0.29458,1.9984e-016,0.063209,20.664,0.99222,141.53,420.97,0.098039,0.033333,0,0,1,4,5,29
0.502,0.154,28.021,-39.31,11.591,-40.821,16.499,0.7131,4,-3.0498,17.413,197.81,212.82,-4295.3,-1391.1,6949.6,170.12,0.34914,-0.02383,0,0.2266,-3.0313,16.538,0.99762,107.39,-809.58,0.070588,0.033333,0,0,1,4,5,29
3.017,0.059,22.679,-38.201,12.297,-39.31,10.441,0.59946,4,-3.0352,50.4,210.76,792.79,-52246,6784.7,2.9873e+005,292.91,0.090493,-0.01985,0,0.042133,-3.0406,10.449,0.9992,177.1,6784.7,0.07451,0.066667,0,0,1,4,5,29
0.489,0.155,8.3659,-41.729,25.803,-39.713,17.553,0.99483,2,0.1151,6.6713,172.98,247.35,-5371.7,-1000.7,6598.5,155.36,-0.49832,-0.36642,-0.12849,0,0.12634,17.589,0.99799,113.48,2542.3,0.082353,0.066667,0,0,1,4,5,29
1.333,0.088,12.196,-39.31,26.408,-40.015,14.229,0.99357,2,-0.049605,56.637,207.87,253.19,-9538.5,-1437.3,6835.2,217.02,-0.74753,-0.66556,-0.14815,-7.7716e-017,-0.032009,14.33,0.993,162.84,-1437.3,0.10588,0.1,0,0,1,4,5,29
0.485,0.185,24.997,-29.835,12.7,-29.835,12.297,0.74626,4,3.1416,7.0009,97.266,172.47,-4371.3,993.01,5096.7,119.42,-0.10079,0,0,0.10079,-3.1111,12.316,0.99847,66.571,993.01,0.086275,0.083333,0,0,1,4,5,29
4.843,0.093,17.74,-32.254,11.793,-32.657,5.9605,0.48967,4,-3.0739,7.3379,72.184,188.32,-5560.6,-3868,11204,72.184,-0.43804,-0.29572,-5.5511e-017,-2.7756e-017,-2.9978,6.0367,0.98737,64.911,-3868,0.090196,0.083333,0,0,1,4,5,29
0.408,0.12,8.6683,-30.843,23.687,-31.448,15.03,0.99538,2,-0.040247,10.453,213.39,255.25,-6884.4,513.24,9501.7,213.39,-0.8111,-0.73567,-0.016222,0,-0.038437,15.14,0.99279,126.16,513.24,0.12549,0.083333,0,0,1,4,5,29
1.049,0.151,8.5675,-28.323,23.485,-27.517,14.939,0.99684,2,0.054002,9.9025,202.66,235.66,-5909.8,-121.84,8113.4,202.66,-0.5658,-0.4997,-1.1102e-016,0.0043523,0.036694,15.001,0.9959,99.343,-121.84,0.12157,0.066667,0,0,1,4,5,29
0.476,0.155,31.246,-33.262,17.84,-33.564,13.409,0.7454,4,-3.119,33.664,99.317,108.15,-5639.8,-303.41,2439.2,97.059,-0.52127,-0.37777,-0.099253,0,-3.1239,13.476,0.99501,86.943,-303.41,0.086275,0.033333,0,0,1,4,5,29
0.986,0.134,26.509,-31.548,15.119,-32.758,11.454,0.69651,4,-3.0358,60.826,97.796,136.56,-4677.3,-1461.4,4695.1,86.827,-1.0529,-0.82357,-0.51667,1.9984e-016,-3.0218,11.712,0.97795,87.403,-1371.2,0.070588,0.066667,0,0,1,4,5,29
0.406,0.153,7.9627,-34.572,26.005,-33.06,18.105,0.99253,2,0.083604,19.158,155.26,230.79,-4243.6,-4051.5,7098.4,124.18,-0.90902,-0.61657,-0.075191,0,0.094313,18.212,0.99414,119.03,-868.25,0.10588,0.066667,0,0,1,4,5,29
